****************************************************************
Suite Created By = Protacon Technologies Ltd
TesterID = SWT-G3-42
SWT version = 1.4.0.6
TestPlaceIdentification = HST-6
ProductType = UHF
Chip Model = Monza5
Chip Manufacturer = Impinj
Product Specification = 3003122
Inlay Type = UHF
Product Readiness Level = 
Prodline Name = HST-6
Tester Name = SWT-G3_42
Product Name = Dose Wet
Product Spec = 3003122
Encoding Specification = 
Start of test = 2019-08-05 00:48:32
Main Roll ID = 0006262502
Sub Roll IDs = 
Roll Counter = 1
ReadersGAPs = 
Attenuation1.Value = 14.0
Attenuation2.Value = 0.0
Operator Name IC-Attachment =
Operator Name IC-Converting =
Operator Name Final Testing =
Chip Manufacturing Date =
SFG Roll ID = 0006262153
R1_CMD1 = FF0928000000020000000006 (CRC:CCITT:1:-1)|FF0D28000000E28011302000XXXXXXXXXXXXXXXX|45|0|1|0|Read Tag Tid Cmd(0:0)|1|TID(12:24)
Fields = Index, TID(12:24), ProductionMode, Status, Status_R1, Status_R2, Attenuation(0:), Attenuation_R1, Attenuation_R2, SpliceCount(0:), Time
48.1, FF0D28000000E280113020003484563B09F650EF, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:02.305
49.1, FF0D28000000E2801130200034E5563109F65DFE, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:03.061
50.1, FF0D28000000E280113020003474563109F612F7, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:08.060
51.1, FF0D28000000E2801130200034D5563109F6985B, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:09.257
52.1, FF0D28000000E280113020003484563109F6F1A5, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:09.967
53.1, FF0D28000000E2801130200034E5563B09F6FCB4, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:10.512
54.1, FF0D28000000E280113020003085563909F68D6C, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:10.994
55.1, FF0D28000000E2801130200034D5563B09F63911, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:11.398
56.1, FF0D28000000E280113020003075563909F66E3E, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:11.784
57.1, FF0D28000000E2801130200034E5564709F643AF, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:12.158
58.1, FF0D28000000E280113020003085564409F62256, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:12.487
59.1, FF0D28000000E2801130200034D5564709F6860A, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:12.791
60.1, FF0D28000000E280113020003075564409F6C104, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:13.083
61.1, FF0D28000000E2801130200034E5565409F661FD, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:13.352
62.1, FF0D28000000E280113020003085565109F660C2, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:13.647
63.1, FF0D28000000E2801130200034D5565409F6A458, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:13.879
64.1, FF0D28000000E280113020003075565109F68390, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:14.138
65.1, FF0D28000000E2801130200034E5566009F6172A, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:14.384
66.1, FF0D28000000E280113020003085565E09F6912D, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:14.640
67.1, FF0D28000000E2801130200034D5566009F6D28F, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:14.904
68.1, FF0D28000000E280113020003075565E09F6727F, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:15.160
69.1, FF0D28000000E2801130200034E5566B09F6A641, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:15.406
70.1, FF0D28000000E280113020003085566A09F6E7FA, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:15.653
71.1, FF0D28000000E2801130200034D5566B09F663E4, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:15.916
72.1, FF0D28000000E280113020003075566A09F604A8, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:16.171
73.1, FF0D28000000E280113020003816566E09F603D4, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:16.432
74.1, FF0D28000000E280113020003076567409F6AE07, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:16.676
75.1, FF0D28000000E280113020003826566E09F6C671, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:16.934
76.1, FF0D28000000E280113020003075567409F6F757, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:17.184
77.1, FF0D28000000E280113020003816566409F6A29E, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:17.442
78.1, FF0D28000000E280113020003076566A09F65DF8, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:17.698
79.1, FF0D28000000E280113020003826566409F6673B, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:17.945
80.1, FF0D28000000E280113020003086566A09F6BEAA, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:18.206
81.1, FF0D28000000E280113020003816565809F65541, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:18.450
82.1, FF0D28000000E280113020003076565E09F62B2F, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:18.722
83.1, FF0D28000000E280113020003826565809F690E4, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:18.969
84.1, FF0D28000000E280113020003086565E09F6C87D, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:19.224
85.1, FF0D28000000E280113020003816564B09F67713, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:19.470
86.1, FF0D28000000E280113020003076565109F6DAC0, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:19.727
87.1, FF0D28000000E280113020003826564B09F6B2B6, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:19.985
88.1, FF0D28000000E280113020003086565109F63992, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:20.231
89.1, FF0D28000000E280113020003816563E09F65921, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:20.482
90.1, FF0D28000000E280113020003076564409F69854, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:20.738
91.1, FF0D28000000E280113020003826563E09F69C84, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:20.996
92.1, FF0D28000000E280113020003086564409F67B06, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:21.255
93.1, FF0D28000000E280113020003816563409F6F86B, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:21.501
94.1, FF0D28000000E280113020003076563909F6376E, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:21.763
95.1, FF0D28000000E280113020003826563409F63DCE, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:22.007
96.1, FF0D28000000E280113020003086563909F6D43C, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:22.270
97.1, FF0D28000000E280113020003017563909F69B35, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:22.527
98.1, FF0D28000000E2801130200034A7563109F62E33, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:22.770
99.1, FF0D28000000E280113020003007563909F6D856, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:23.033
100.1, FF0D28000000E280113020003497563109F6EB96, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:23.278
101.1, FF0D28000000E280113020003047564409F66AC1, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:23.532
102.1, FF0D28000000E2801130200034D7563B09F65771, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:23.793
103.1, FF0D28000000E280113020003037564409F6B2C9, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:24.037
104.1, FF0D28000000E2801130200034C7563B09F61412, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:24.283
105.1, FF0D28000000E280113020003077565109F6EDF0, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:24.555
106.1, FF0D28000000E280113020003807564B09F60340, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:24.799
107.1, FF0D28000000E280113020003067565109F6AE93, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:25.056
108.1, FF0D28000000E2801130200034F7564709F66EAC, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:25.316
109.1, FF0D28000000E2801130200030B7565E09F63AE8, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:25.568
110.1, FF0D28000000E280113020003837565809F6E4B7, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:25.813
111.1, FF0D28000000E2801130200030A7565E09F6798B, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:26.084
112.1, FF0D28000000E280113020003827565809F6A7D4, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:26.334
113.1, FF0D28000000E2801130200030E7566A09F612F1, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:26.588
114.1, FF0D28000000E280113020003867566409F64DA6, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:26.852
115.1, FF0D28000000E2801130200030D7566A09F6D754, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:27.100
116.1, FF0D28000000E280113020003857566409F68803, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:27.345
117.1, FF0D28000000E280113020003018567409F62E6D, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:27.597
118.1, FF0D28000000E2801130200038A7566E09F6CA1B, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:27.879
119.1, FF0D28000000E280113020003028567409F6EBC8, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:28.832
120.1, FF0D28000000E280113020003897566E09F60FBE, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:29.495
121.1, FF0D28000000E2801130200038E8566409F65ACD, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:30.279
122.1, FF0D28000000E280113020003458566B09F61AEF, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:31.048
123.1, FF0D28000000E2801130200038F8566409F619AE, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:31.764
124.1, FF0D28000000E280113020003468566B09F6DF4A, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:32.565
125.1, FF0D28000000E2801130200038B8565809F6F3DC, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:39.944
126.1, FF0D28000000E280113020003428566009F6738C, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:40.689
127.1, FF0D28000000E2801130200038C8565809F62BD4, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:41.460
128.1, FF0D28000000E280113020003438566009F630EF, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:45.638
129.1, FF0D28000000E280113020003878564B09F6F779, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:50.379
130.1, FF0D28000000E2801130200030F8565109F6FA9B, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:51.173
131.1, FF0D28000000E280113020003898564B09F65748, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:51.771
132.1, FF0D28000000E280113020003408565409F6839D, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:52.276
133.1, FF0D28000000E280113020003848563E09F61CEE, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:52.702
134.1, FF0D28000000E2801130200030C8564409F67DAA, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:53.085
135.1, FF0D28000000E280113020003858563E09F65F8D, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:53.471
136.1, FF0D28000000E2801130200030D8564409F63EC9, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:53.811
137.1, FF0D28000000E280113020003818563409F6E36A, 0, 1, 1, 0, 14.0, 14.0, 0.0, 0, 2019-08-05 00:52:54.116
